AFFYMETRIX_3PRIME_IVT_ID	Name	Species
211165_x_at	EPH receptor B2(EPHB2)	Homo sapiens
235076_at	calcium binding and coiled-coil domain 2(CALCOCO2)	Homo sapiens
221069_s_at	translational activator of cytochrome c oxidase I(TACO1)	Homo sapiens
218795_at	acid phosphatase 6, lysophosphatidic(ACP6)	Homo sapiens
228918_at	solute carrier family 43 member 2(SLC43A2)	Homo sapiens
37986_at	erythropoietin receptor(EPOR)	Homo sapiens
209963_s_at	erythropoietin receptor(EPOR)	Homo sapiens
204011_at	sprouty RTK signaling antagonist 2(SPRY2)	Homo sapiens
208194_s_at	signal transducing adaptor molecule 2(STAM2)	Homo sapiens
208287_at	HLA complex group 9 (non-protein coding)(HCG9)	Homo sapiens
229094_at	ATP6V0E2 antisense RNA 1(ATP6V0E2-AS1)	Homo sapiens
228979_at	surfactant associated 3(SFTA3)	Homo sapiens
201818_at	lysophosphatidylcholine acyltransferase 1(LPCAT1)	Homo sapiens
1562005_at	Ras and Rab interactor 3(RIN3)	Homo sapiens
203504_s_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
203505_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
213468_at	ERCC excision repair 2, TFIIH core complex helicase subunit(ERCC2)	Homo sapiens
1555315_a_at	male germ cell associated kinase(MAK)	Homo sapiens
204777_s_at	mal, T-cell differentiation protein(MAL)	Homo sapiens
1552742_at	potassium voltage-gated channel subfamily H member 8(KCNH8)	Homo sapiens
212458_at	sprouty related EVH1 domain containing 2(SPRED2)	Homo sapiens
235370_at	kringle containing transmembrane protein 1(KREMEN1)	Homo sapiens
225912_at	tumor protein p53 inducible nuclear protein 1(TP53INP1)	Homo sapiens
233050_at	SOGA family member 3(SOGA3)	Homo sapiens
214484_s_at	sigma non-opioid intracellular receptor 1(SIGMAR1)	Homo sapiens
201692_at	sigma non-opioid intracellular receptor 1(SIGMAR1)	Homo sapiens
213399_x_at	ribophorin II(RPN2)	Homo sapiens
213491_x_at	ribophorin II(RPN2)	Homo sapiens
232444_at	centrosomal protein 85 like(CEP85L)	Homo sapiens
205378_s_at	acetylcholinesterase (Cartwright blood group)(ACHE)	Homo sapiens
215552_s_at	estrogen receptor 1(ESR1)	Homo sapiens
228560_at	choline dehydrogenase(CHDH)	Homo sapiens
239719_at	CD109 molecule(CD109)	Homo sapiens
230505_at	uncharacterized LOC145474(LOC145474)	Homo sapiens
1555355_a_at	ETS proto-oncogene 1, transcription factor(ETS1)	Homo sapiens
224833_at	ETS proto-oncogene 1, transcription factor(ETS1)	Homo sapiens
214447_at	ETS proto-oncogene 1, transcription factor(ETS1)	Homo sapiens
209345_s_at	phosphatidylinositol 4-kinase type 2 alpha(PI4K2A)	Homo sapiens
229410_at	solute carrier family 35 member E1(SLC35E1)	Homo sapiens
227518_at	solute carrier family 35 member E1(SLC35E1)	Homo sapiens
218118_s_at	translocase of inner mitochondrial membrane 23(TIMM23)	Homo sapiens
225535_s_at	translocase of inner mitochondrial membrane 23(TIMM23)	Homo sapiens
221490_at	ubiquitin associated protein 1(UBAP1)	Homo sapiens
1561210_at	uncharacterized LOC101928539(LOC101928539)	Homo sapiens
202010_s_at	prostaglandin reductase 2(PTGR2)	Homo sapiens
205265_s_at	CAVP-target protein-like(LOC100996693)	Homo sapiens
216901_s_at	IKAROS family zinc finger 1(IKZF1)	Homo sapiens
236846_at	MIR646 host gene(MIR646HG)	Homo sapiens
209671_x_at	T-cell receptor alpha constant(TRAC)	Homo sapiens
230896_at	BEN domain containing 4(BEND4)	Homo sapiens
219236_at	progestin and adipoQ receptor family member 6(PAQR6)	Homo sapiens
238470_at	SYS1, golgi trafficking protein(SYS1)	Homo sapiens
205540_s_at	Ras related GTP binding B(RRAGB)	Homo sapiens
1560958_s_at	uncharacterized LOC101928516(LOC101928516)	Homo sapiens
219497_s_at	B-cell CLL/lymphoma 11A(BCL11A)	Homo sapiens
220159_at	ATP binding cassette subfamily A member 11, pseudogene(ABCA11P)	Homo sapiens
233941_at	leucine rich repeat containing 74A(LRRC74A)	Homo sapiens
1567656_at	olfactory receptor family 2 subfamily H member 1(OR2H1)	Homo sapiens
32259_at	enhancer of zeste 1 polycomb repressive complex 2 subunit(EZH1)	Homo sapiens
205260_s_at	acylphosphatase 1(ACYP1)	Homo sapiens
1569355_at	potassium voltage-gated channel interacting protein 3(KCNIP3)	Homo sapiens
223727_at	potassium voltage-gated channel interacting protein 2(KCNIP2)	Homo sapiens
1569642_at	coagulation factor II thrombin receptor(F2R)	Homo sapiens
224368_s_at	NDRG family member 3(NDRG3)	Homo sapiens
226184_at	formin like 2(FMNL2)	Homo sapiens
1562791_at	MYCBP associated protein(MYCBPAP)	Homo sapiens
236646_at	transmembrane protein 52B(TMEM52B)	Homo sapiens
223177_at	5'-nucleotidase domain containing 1(NT5DC1)	Homo sapiens
1555383_a_at	premature ovarian failure, 1B(POF1B)	Homo sapiens
209199_s_at	myocyte enhancer factor 2C(MEF2C)	Homo sapiens
207968_s_at	myocyte enhancer factor 2C(MEF2C)	Homo sapiens
209200_at	myocyte enhancer factor 2C(MEF2C)	Homo sapiens
218978_s_at	solute carrier family 25 member 37(SLC25A37)	Homo sapiens
1563160_at	coagulation factor XI(F11)	Homo sapiens
212392_s_at	phosphodiesterase 4D interacting protein-like(LOC100996724)	Homo sapiens
225641_at	myocyte enhancer factor 2D(MEF2D)	Homo sapiens
235146_at	transmembrane and coiled-coil domain family 3(TMCC3)	Homo sapiens
202776_at	deoxynucleotidyltransferase terminal interacting protein 2(DNTTIP2)	Homo sapiens
1557302_at	zinc finger protein 585B(ZNF585B)	Homo sapiens
216192_at	fatty acid binding protein 7(FABP7)	Homo sapiens
220485_s_at	signal regulatory protein gamma(SIRPG)	Homo sapiens
207337_at	cancer/testis antigen 2(CTAG2)	Homo sapiens
244099_at	calcium voltage-gated channel auxiliary subunit gamma 2(CACNG2)	Homo sapiens
1554701_a_at	TBC1 domain family member 16(TBC1D16)	Homo sapiens
1570078_a_at	dedicator of cytokinesis 5(DOCK5)	Homo sapiens
244058_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
1560097_at	forkhead associated phosphopeptide binding domain 1(FHAD1)	Homo sapiens
214588_s_at	microfibrillar associated protein 3(MFAP3)	Homo sapiens
1558290_a_at	microRNA 1204(MIR1204)	Homo sapiens
1553002_at	defensin beta 105A(DEFB105A)	Homo sapiens
243957_at	putative ubiquitin-conjugating enzyme E2Q2-like protein(LOC100128108)	Homo sapiens
240834_at	OTU deubiquitinase with linear linkage specificity(OTULIN)	Homo sapiens
220709_at	zinc finger protein 556(ZNF556)	Homo sapiens
232228_at	zinc finger protein 530(ZNF530)	Homo sapiens
228774_at	centrosomal protein 78(CEP78)	Homo sapiens
229741_at	mitochondrial antiviral signaling protein(MAVS)	Homo sapiens
226495_at	mitochondrial antiviral signaling protein(MAVS)	Homo sapiens
231829_at	mitochondrial antiviral signaling protein(MAVS)	Homo sapiens
244874_at	carbohydrate sulfotransferase 15(CHST15)	Homo sapiens
242230_at	ataxin 1(ATXN1)	Homo sapiens
226059_at	translocase of outer mitochondrial membrane 40 like(TOMM40L)	Homo sapiens
202622_s_at	ataxin 2(ATXN2)	Homo sapiens
205283_at	fukutin(FKTN)	Homo sapiens
217769_s_at	proteasome maturation protein(POMP)	Homo sapiens
226451_at	ferredoxin 1 like(FDX1L)	Homo sapiens
205474_at	cytokine receptor like factor 3(CRLF3)	Homo sapiens
216268_s_at	jagged 1(JAG1)	Homo sapiens
209099_x_at	jagged 1(JAG1)	Homo sapiens
215499_at	dual specificity mitogen-activated protein kinase kinase 3(LOC100996792)	Homo sapiens
212614_at	AT-rich interaction domain 5B(ARID5B)	Homo sapiens
241969_at	AT-rich interaction domain 5B(ARID5B)	Homo sapiens
1561820_at	sodium voltage-gated channel alpha subunit 8(SCN8A)	Homo sapiens
232093_at	sperm acrosome associated 6(SPACA6)	Homo sapiens
244171_at	muskelin 1(MKLN1)	Homo sapiens
226889_at	WD repeat domain 35(WDR35)	Homo sapiens
238650_x_at	WD repeat domain 89(WDR89)	Homo sapiens
220718_at	HEXA antisense RNA 1(HEXA-AS1)	Homo sapiens
216598_s_at	C-C motif chemokine ligand 2(CCL2)	Homo sapiens
201080_at	phosphatidylinositol-5-phosphate 4-kinase type 2 beta(PIP4K2B)	Homo sapiens
233657_at	opsin 5(OPN5)	Homo sapiens
226446_at	hes family bHLH transcription factor 6(HES6)	Homo sapiens
215625_at	uncharacterized LOC101928669(LOC101928669)	Homo sapiens
218445_at	H2A histone family member Y2(H2AFY2)	Homo sapiens
215141_at	NOP14 antisense RNA 1(NOP14-AS1)	Homo sapiens
214123_s_at	NOP14 antisense RNA 1(NOP14-AS1)	Homo sapiens
223449_at	semaphorin 6A(SEMA6A)	Homo sapiens
203638_s_at	fibroblast growth factor receptor 2(FGFR2)	Homo sapiens
219695_at	sphingomyelin phosphodiesterase 3(SMPD3)	Homo sapiens
215412_x_at	PMS1 homolog 2, mismatch repair system component pseudogene 8(PMS2P8)	Homo sapiens
244807_at	LRRC75A antisense RNA 1(LRRC75A-AS1)	Homo sapiens
236496_at	delta 4-desaturase, sphingolipid 2(DEGS2)	Homo sapiens
228377_at	kelch like family member 14(KLHL14)	Homo sapiens
215231_at	protein kinase AMP-activated non-catalytic subunit gamma 2(PRKAG2)	Homo sapiens
220409_at	calmodulin regulated spectrin associated protein 1(CAMSAP1)	Homo sapiens
244682_at	calmodulin regulated spectrin associated protein 1(CAMSAP1)	Homo sapiens
220410_s_at	calmodulin regulated spectrin associated protein 1(CAMSAP1)	Homo sapiens
229940_at	SET domain containing 3(SETD3)	Homo sapiens
228368_at	Rho GTPase activating protein 20(ARHGAP20)	Homo sapiens
201539_s_at	four and a half LIM domains 1(FHL1)	Homo sapiens
225100_at	F-box protein 45(FBXO45)	Homo sapiens
225099_at	F-box protein 45(FBXO45)	Homo sapiens
239162_at	DAPK1 intronic transcript 1(DAPK1-IT1)	Homo sapiens
211754_s_at	solute carrier family 25 member 17(SLC25A17)	Homo sapiens
212154_at	syndecan 2(SDC2)	Homo sapiens
212158_at	syndecan 2(SDC2)	Homo sapiens
202071_at	syndecan 4(SDC4)	Homo sapiens
232900_at	hect domain and RLD 2 pseudogene 7(HERC2P7)	Homo sapiens
212554_at	CAP, adenylate cyclase-associated protein, 2 (yeast)(CAP2)	Homo sapiens
1559902_at	megakaryoblastic leukemia (translocation) 1(MKL1)	Homo sapiens
203315_at	NCK adaptor protein 2(NCK2)	Homo sapiens
242039_at	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1(ARAP1)	Homo sapiens
